arabic,dutch
جِمْنَازِيُومٌ,sportschool
تَدْرِيبٌ,training
مُدَرِّبٌ,coach
بَطَلٌ,kampioen
مِيدَالِيَّةٌ,medaille
طَبِيبٌ,arts
مُمَرِّضَةٌ,verpleegster
مُهَنْدِسٌ,ingenieur
مُعَلِّمٌ,leraar
مُعَلِّمَةٌ,lerares
طَالِبٌ,student
طَالِبَةٌ,studente
طَبَّاخٌ,kok
نَادِلٌ,ober
نَادِلَةٌ,serveerster
سَائِقٌ,chauffeur
شُرْطِيٌّ,politieagent
رَجُلُ إِطْفَاءٍ,brandweerman
مُحَامٍ,advocaat
قَاضٍ,rechter
صَحَفِيٌّ,journalist
كَاتِبٌ,schrijver
فَنَّانٌ,kunstenaar
مُوسِيقِيٌّ,muzikant
رَسَّامٌ,schilder
مُصَوِّرٌ,fotograaf
مُبَرْمِجٌ,programmeur
عَالِمٌ,wetenschapper
بَائِعٌ,verkoper
بَائِعَةٌ,verkoopster
مُحَاسِبٌ,accountant
مُدِيرٌ,manager
مُوَظَّفٌ,werknemer
عَامِلٌ,arbeider
نَجَّارٌ,timmerman
كَهْرَبَائِيٌّ,elektricien
سَبَّاكٌ,loodgieter
حَلاَّقٌ,kapper
مُزَارِعٌ,boer
قِطٌّ,kat
قِطَّةٌ,kat (vrouwelijk)
كَلْبٌ,hond
كَلْبَةٌ,hond (vrouwelijk)
حِصَانٌ,paard
بَقَرَةٌ,koe
خَرُوفٌ,schaap
مَاعِزٌ,geit
حِمَارٌ,ezel
جَمَلٌ,kameel
فِيلٌ,olifant
أَسَدٌ,leeuw
نَمِرٌ,tijger
دُبٌّ,beer
ذِئْبٌ,wolf
ثَعْلَبٌ,vos
أَرْنَبٌ,konijn
فَأْرٌ,muis
جُرَذٌ,rat
قِرْدٌ,aap
زَرَافَةٌ,giraf
فَرَسُ النَّهْرِ,nijlpaard
وَحِيدُ القَرْنِ,neushoorn
غُزَالٌ,hert
طَائِرٌ,vogel
بَطَّةٌ,eend
دَجَاجَةٌ,kip
دِيكٌ,haan
حَمَامَةٌ,duif
بَبَّغَاءُ,papegaai
نَسْرٌ,adelaar
بُومَةٌ,uil
عُصْفُورٌ,mus
غُرَابٌ,kraai
سَمَكَةٌ,vis
دُولْفِينٌ,dolfijn
قِرْشٌ,haai
حُوتٌ,walvis
أَخْطَبُوطٌ,octopus
سُلَحْفَاةٌ,schildpad
ثُعْبَانٌ,slang
تِمْسَاحٌ,krokodil
ضِفْدَعٌ,kikker
فَرَاشَةٌ,vlinder
نَحْلَةٌ,bij
نَمْلَةٌ,mier
عَنْكَبُوتٌ,spin
حَيَوَانٌ,dier
حَيَوَانَاتٌ,dieren
حَيَوَانٌ أَلِيفٌ,huisdier
حَيَوَانٌ بَرِّيٌّ,wild dier
